"Inter","Verona","Empoli","Torino","Bologna","Udinese","Napoli","Roma","Cagliari","Sampdoria","Atalanta","Lazio","Fiorentina","Juventus","Genoa","Sassuolo","Milan","Salernitana","Spezia","Venezia"
90,59,52,50,48,44,82,68,24,40,58,54,62,73,25,56,81,21,27,30
92,55,46,61,47,56,72,60,25,42,73,73,52,72,22,44,81,13,30,24
90,53,50,51,49,52,73,75,30,34,72,62,61,69,19,43,83,14,34,26
88,44,45,51,49,56,76,60,21,44,75,67,59,65,21,50,80,22,33,28
95,53,46,50,48,53,79,57,27,39,68,62,60,79,22,51,78,20,27,27
86,55,46,53,46,52,86,56,22,38,72,59,69,67,18,58,83,17,32,34
90,49,45,56,54,43,72,62,31,46,69,63,66,73,20,49,82,18,31,26
93,47,47,50,53,51,84,66,26,35,69,60,64,72,19,57,79,10,34,32
87,54,46,57,41,40,77,67,32,41,74,64,69,69,21,52,76,16,29,25
89,56,45,48,47,48,86,58,19,43,74,67,66,69,20,43,77,15,35,31
83,45,46,51,52,51,75,61,18,50,68,69,59,77,19,62,82,22,29,28
93,47,49,47,43,49,72,58,29,41,74,67,68,72,21,46,85,21,35,32
92,48,52,51,54,42,80,63,21,31,79,51,63,81,22,45,79,22,35,34
82,50,56,53,52,41,83,67,24,36,72,57,64,71,20,48,78,18,30,31
83,50,51,50,43,45,75,63,32,38,66,69,64,59,21,56,80,18,43,30
91,47,59,63,38,52,89,60,17,39,72,61,67,72,19,44,77,18,33,32
97,47,34,61,46,49,80,63,32,44,75,62,61,61,22,40,81,22,31,34
87,59,49,51,43,46,83,65,20,41,67,64,70,72,16,45,73,24,30,33
80,47,42,55,43,52,82,66,29,33,74,69,68,66,22,55,78,11,36,31
98,55,42,54,53,45,83,56,23,39,64,60,55,76,25,49,78,19,33,32
89,45,57,55,54,40,80,67,25,37,75,66,62,75,14,57,77,21,25,29
89,46,52,55,48,40,80,64,27,38,78,64,64,74,26,37,76,20,30,28
91,55,46,53,52,44,76,57,19,33,72,62,58,72,21,50,84,20,31,36
89,42,57,48,50,43,80,59,29,37,78,59,70,68,21,55,79,20,27,26
85,55,54,48,49,49,83,66,29,27,71,59,59,66,23,55,88,18,25,28
83,58,51,43,41,55,77,70,34,37,69,62,75,70,20,45,78,18,23,36
86,53,40,46,48,39,82,65,22,45,76,65,60,77,19,46,84,23,29,38
91,50,48,50,58,49,78,63,29,37,66,57,58,68,21,56,77,22,33,27
89,54,46,54,54,41,83,68,27,38,69,69,55,71,22,44,73,21,30,29
89,45,40,47,46,43,79,63,25,39,82,67,64,75,24,48,78,14,44,27
89,53,56,55,53,48,80,51,22,43,78,66,52,74,17,53,77,20,32,26
