"Inter","Verona","Empoli","Torino","Bologna","Udinese","Napoli","Roma","Cagliari","Sampdoria","Atalanta","Lazio","Fiorentina","Juventus","Genoa","Sassuolo","Milan","Salernitana","Spezia","Venezia"
93,54,48,53,54,46,85,62,22,37,66,68,59,67,18,44,91,19,29,34
91,46,51,59,44,42,81,70,20,43,72,61,64,73,20,49,78,24,29,30
84,46,41,54,50,51,76,71,28,41,74,64,67,61,21,47,82,15,30,27
88,44,47,53,46,57,86,55,26,45,73,57,67,63,28,43,84,22,28,30
90,55,36,59,42,46,74,63,29,43,69,58,66,62,25,47,83,24,41,28
88,48,41,54,53,55,82,51,25,40,76,65,62,65,25,47,80,17,31,32
87,51,40,48,39,51,82,68,23,29,75,53,61,73,19,50,86,22,36,39
82,50,52,51,49,46,90,66,25,47,73,50,60,73,21,43,86,20,32,32
94,48,48,57,51,47,85,59,26,41,68,60,62,74,24,44,74,24,27,26
96,53,51,53,52,43,83,59,21,32,68,63,67,73,19,54,85,22,30,28
96,57,49,47,49,49,82,66,25,41,71,50,62,66,18,57,78,15,32,29
89,49,59,48,50,39,78,58,32,41,74,57,68,75,24,41,76,27,24,26
93,55,54,44,52,45,76,65,22,33,68,57,56,66,25,55,81,19,32,40
90,55,42,50,42,44,70,69,19,47,73,60,68,75,26,57,72,20,33,30
87,59,44,41,42,43,80,63,31,40,62,71,60,71,19,51,86,24,29,29
89,53,50,52,51,47,80,56,20,46,75,65,49,68,21,50,81,26,24,32
82,52,49,66,48,54,85,60,20,42,68,65,59,68,23,58,65,24,32,26
83,56,42,55,37,39,76,63,27,47,67,70,67,68,22,48,82,27,31,27
91,44,47,55,52,51,76,58,22,42,74,70,61,78,17,54,79,16,33,27
91,54,45,46,45,41,73,59,30,42,81,58,55,68,23,50,85,22,34,33
81,51,47,60,41,46,81,64,27,36,68,67,64,73,22,45,84,20,40,26
95,50,39,49,52,39,87,69,20,43,70,67,64,71,18,40,74,24,30,39
87,43,49,58,40,52,81,67,30,35,82,66,61,67,20,44,76,18,36,28
90,43,53,61,44,52,72,63,23,43,73,51,64,71,22,51,78,21,35,25
85,48,50,48,48,47,82,66,32,35,67,60,62,67,19,53,79,18,30,38
91,63,40,47,50,49,72,63,29,46,72,67,66,66,16,40,80,25,33,29
86,53,54,52,41,55,84,74,20,37,65,62,65,65,18,53,84,17,29,29
93,56,35,49,54,45,79,61,24,39,66,66,66,66,24,46,81,25,36,36
90,52,50,51,44,54,73,64,24,36,72,58,68,75,23,55,72,22,38,25
99,52,45,59,48,51,79,63,25,34,73,61,56,68,29,39,91,20,26,33
85,52,47,58,54,51,76,68,29,37,76,57,63,69,22,44,78,23,28,20
91,46,48,51,55,43,79,63,36,45,71,58,57,74,21,51,76,21,35,30
96,50,50,50,47,43,74,67,30,32,73,54,70,66,29,49,86,21,30,27
80,57,47,49,53,44,86,71,27,40,67,55,57,63,26,50,84,24,35,20
91,42,45,55,49,50,83,57,20,35,67,58,66,73,22,63,78,16,33,30
72,50,50,55,51,54,78,56,28,32,69,69,63,73,24,51,82,14,39,28
85,47,46,49,49,52,77,60,18,38,79,63,65,77,22,52,74,23,31,30
85,63,40,55,50,46,84,67,24,34,68,59,60,74,22,51,79,22,35,24
81,62,51,48,50,46,76,71,27,42,68,58,56,69,24,46,86,22,34,24
89,51,46,47,56,37,74,72,22,36,65,71,60,78,25,47,77,29,29,28
91,62,51,49,52,51,78,56,18,30,77,64,65,66,24,47,80,18,35,25
92,48,42,55,47,41,78,62,27,35,73,66,61,73,22,54,78,20,30,33
84,51,52,54,43,56,83,60,19,37,65,68,65,73,23,46,79,19,29,32
93,49,47,52,50,44,76,62,20,43,76,65,67,71,24,51,76,15,27,34
87,53,50,55,50,40,75,61,21,41,75,57,63,66,22,45,83,23,36,29
90,45,57,40,50,39,80,66,34,39,70,62,63,71,27,43,76,14,37,32
83,51,55,47,53,49,69,60,21,40,73,66,63,68,22,50,76,25,30,31
93,55,54,59,52,34,73,59,22,39,70,70,64,70,31,45,75,21,34,27
74,54,53,51,49,50,85,62,25,46,78,70,54,63,19,53,76,18,29,29
95,51,41,55,45,49,77,52,24,43,78,62,58,70,25,49,75,21,33,31
85,44,37,46,62,49,76,69,32,39,82,53,65,73,23,45,76,18,30,31
85,51,52,57,49,40,81,65,30,42,64,58,56,75,22,43,84,17,37,27
86,49,53,51,47,38,78,57,30,36,79,67,62,71,18,56,74,21,36,32
83,56,53,51,42,45,80,58,27,52,67,60,62,76,22,43,84,20,32,29
92,44,47,44,50,52,82,66,25,38,79,58,61,60,18,52,73,23,35,31
94,55,51,49,42,47,83,59,23,41,76,61,65,76,17,46,75,24,33,24
93,55,54,49,52,47,76,54,25,36,86,64,64,68,16,54,77,20,32,31
87,54,39,55,53,50,86,66,23,42,75,54,62,67,21,49,89,17,29,27
83,56,52,55,54,46,73,58,30,40,68,69,61,67,25,40,80,17,36,32
88,63,36,56,36,48,75,73,24,45,64,62,70,77,26,46,76,16,39,30
93,52,41,48,54,40,74,67,26,50,66,61,62,59,17,59,90,21,31,31
91,44,57,51,46,48,88,56,28,42,62,64,62,71,24,46,86,14,43,29
78,47,50,48,52,42,77,58,27,33,73,73,66,69,25,56,84,16,35,22
87,48,52,57,55,37,78,58,31,35,65,64,62,72,23,47,76,24,30,30
88,47,45,49,57,46,86,57,25,38,75,61,58,73,20,57,79,14,31,30
89,58,46,58,41,50,75,58,35,44,69,59,60,59,22,51,80,18,38,27
88,62,49,53,44,50,77,56,26,40,70,65,58,71,21,50,75,22,31,32
87,53,45,58,45,49,76,62,23,40,81,70,59,71,18,53,82,21,26,27
86,49,60,54,55,46,82,58,24,43,78,60,60,68,20,51,70,12,34,34
99,48,49,60,42,49,72,67,18,40,74,66,56,67,23,44,80,20,37,34
